   Wavelength    Flux
   3761.000      0.7589298    
   3761.900      0.7779199    
   3762.800      0.7673199    
   3763.700      0.7803398    
   3764.600      0.8219501    
   3765.500      0.8171725    
   3766.400      0.7689903    
   3767.300      0.7502149    
   3768.200      0.7568688    
   3769.100      0.7255466    
   3770.000      0.6764132    
   3770.900      0.7130615    
   3771.800      0.8146957    
   3772.700      0.8712685    
   3773.600      0.8744931    
   3774.500      0.8654769    
   3775.400      0.8643125    
   3776.300      0.8821537    
   3777.200      0.9051087    
   3778.100      0.9090251    
   3779.000      0.9260813    
   3779.900      0.9482503    
   3780.800      0.9727695    
   3781.700      0.9676943    
   3782.600      0.9720797    
   3783.500      0.9962777    
   3784.400      0.9856941    
   3785.300      0.8980862    
   3786.200      0.8166684    
   3787.100      0.7952902    
   3788.000      0.8082000    
   3788.900      0.8033040    
   3789.800      0.7922095    
   3790.700      0.8225201    
   3791.600      0.8422129    
   3792.500      0.8071297    
   3793.400      0.7478456    
   3794.300      0.7046156    
   3795.200      0.7085711    
   3796.100      0.6881201    
   3797.000      0.6207765    
   3797.900      0.5708333    
   3798.800      0.6090533    
   3799.700      0.7058665    
   3800.600      0.8027605    
   3801.500      0.8393106    
   3802.400      0.8978800    
   3803.300      0.9483682    
   3804.200      0.9581767    
   3805.100      0.9255516    
   3806.000      0.8808351    
   3806.900      0.8491391    
   3807.800      0.8613858    
   3808.700      0.9304391    
   3809.600      0.9723432    
   3810.500      0.9831713    
   3811.400      0.9639773    
   3812.300      0.8792968    
   3813.200      0.8002595    
   3814.100      0.7428279    
   3815.000      0.7049623    
   3815.900      0.7113635    
   3816.800      0.7800500    
   3817.700      0.8499398    
   3818.600      0.8354615    
   3819.500      0.7171831    
   3820.400      0.6445958    
   3821.300      0.7103264    
   3822.200      0.8092700    
   3823.100      0.8094244    
   3824.000      0.7250518    
   3824.900      0.6353476    
   3825.800      0.5939970    
   3826.700      0.5930578    
   3827.600      0.5918607    
   3828.500      0.5829211    
   3829.400      0.5901073    
   3830.300      0.5984827    
   3831.200      0.5586663    
   3832.100      0.4941245    
   3833.000      0.4651655    
   3833.900      0.4726099    
   3834.800      0.4911316    
   3835.700      0.5188949    
   3836.600      0.5208003    
