   Wavelength  Flux
   3762.800       1.311301    
   3763.700       1.285814    
   3764.600       1.241612    
   3765.500       1.183734    
   3766.400       1.105507    
   3767.300       1.006370    
   3768.200      0.8813891    
   3769.100      0.7443430    
   3770.000      0.6409493    
   3770.900      0.6241606    
   3771.800      0.7038916    
   3772.700      0.8303794    
   3773.600      0.9556617    
   3774.500       1.065063    
   3775.400       1.158593    
   3776.300       1.241824    
   3777.200       1.312393    
   3778.100       1.368300    
   3779.000       1.417302    
   3779.900       1.463533    
   3780.800       1.501538    
   3781.700       1.520418    
   3782.600       1.524812    
   3783.500       1.529120    
   3784.400       1.534785    
   3785.300       1.532090    
   3786.200       1.511885    
   3787.100       1.472644    
   3788.000       1.433039    
   3788.900       1.403017    
   3789.800       1.371336    
   3790.700       1.324937    
   3791.600       1.262406    
   3792.500       1.191788    
   3793.400       1.106131    
   3794.300       1.001606    
   3795.200      0.8855708    
   3796.100      0.7573496    
   3797.000      0.6395992    
   3797.900      0.5910485    
   3798.800      0.6487581    
   3799.700      0.7797002    
   3800.600      0.9204949    
   3801.500       1.039858    
   3802.400       1.138284    
   3803.300       1.227229    
   3804.200       1.308584    
   3805.100       1.377890    
   3806.000       1.441457    
   3806.900       1.503213    
   3807.800       1.563302    
   3808.700       1.620404    
   3809.600       1.668683    
   3810.500       1.702711    
   3811.400       1.725409    
   3812.300       1.741228    
   3813.200       1.750333    
   3814.100       1.752954    
   3815.000       1.752542    
   3815.900       1.757882    
   3816.800       1.778069    
   3817.700       1.804454    
   3818.600       1.795181    
   3819.500       1.735641    
   3820.400       1.682643    
   3821.300       1.674849    
   3822.200       1.678427    
   3823.100       1.646649    
   3824.000       1.583986    
   3824.900       1.514244    
   3825.800       1.456008    
   3826.700       1.406358    
   3827.600       1.341051    
   3828.500       1.261284    
   3829.400       1.195607    
   3830.300       1.135729    
   3831.200       1.048895    
   3832.100      0.9367393    
   3833.000      0.8141648    
   3833.900      0.6896552    
   3834.800      0.5973551    
   3835.700      0.5884199    
   3836.600      0.6647372    
   3837.500      0.7770696    
   3838.400      0.8925116    
   3839.300       1.002378    
   3840.200       1.095588    
   3841.100       1.180913    
   3842.000       1.273688    
   3842.900       1.362698    
   3843.800       1.434614    
   3844.700       1.492446    
   3845.600       1.546000    
   3846.500       1.599816    
   3847.400       1.652804    
   3848.300       1.694106    
   3849.200       1.719833    
   3850.100       1.750820    
   3851.000       1.796708    
   3851.900       1.838544    
   3852.800       1.867631    
   3853.700       1.888593    
   3854.600       1.894461    
   3855.500       1.886194    
   3856.400       1.891645    
   3857.300       1.915140    
   3858.200       1.919545    
   3859.100       1.898980    
   3860.000       1.896598    
   3860.900       1.930849    
   3861.800       1.966323    
   3862.700       1.976650    
   3863.600       1.971614    
   3864.500       1.958668    
   3865.400       1.941555    
   3866.300       1.938860    
   3867.200       1.947161    
   3868.100       1.947962    
   3869.000       1.933836    
   3869.900       1.908862    
   3870.800       1.875710    
   3871.700       1.834323    
   3872.600       1.801907    
   3873.500       1.785910    
   3874.400       1.769389    
   3875.300       1.745067    
   3876.200       1.706448    
   3877.100       1.639475    
   3878.000       1.569037    
   3878.900       1.528342    
   3879.800       1.504225    
   3880.700       1.467186    
   3881.600       1.412283    
   3882.500       1.345975    
   3883.400       1.266753    
   3884.300       1.173408    
   3885.200       1.065349    
   3886.100      0.9465563    
   3887.000      0.8195038    
   3887.900      0.6916548    
   3888.800      0.6152745    
   3889.700      0.6452186    
   3890.600      0.7621753    
   3891.500      0.8978600    
   3892.400       1.017861    
   3893.300       1.123743    
   3894.200       1.208830    
   3895.100       1.278082    
   3896.000       1.344153    
   3896.900       1.404947    
   3897.800       1.451799    
   3898.700       1.478465    
   3899.600       1.498757    
   3900.500       1.541478    
   3901.400       1.601449    
   3902.300       1.650452    
   3903.200       1.684082    
   3904.100       1.711106    
   3905.000       1.734239    
   3905.900       1.763528    
   3906.800       1.810456    
   3907.700       1.859599    
   3908.600       1.884082    
   3909.500       1.890709    
   3910.400       1.907119    
   3911.300       1.921855    
   3912.200       1.912481    
   3913.100       1.898950    
   3914.000       1.907932    
   3914.900       1.932744    
   3915.800       1.953424    
   3916.700       1.965833    
   3917.600       1.968126    
   3918.500       1.960375    
   3919.400       1.954921    
   3920.300       1.959040    
   3921.200       1.970642    
   3922.100       1.982415    
   3923.000       1.986049    
   3923.900       1.993195    
   3924.800       2.007021    
   3925.700       2.011829    
   3926.600       2.004837    
   3927.500       1.994705    
   3928.400       1.985984    
   3929.300       1.977507    
   3930.200       1.965493    
   3931.100       1.897298    
   3932.000       1.686571    
   3932.900       1.409288    
   3933.800       1.325109    
   3934.700       1.531919    
   3935.600       1.828834    
   3936.500       2.012824    
   3937.400       2.074864    
   3938.300       2.093629    
   3939.200       2.106424    
   3940.100       2.114108    
   3941.000       2.104842    
   3941.900       2.078431    
   3942.800       2.044116    
   3943.700       2.012560    
   3944.600       2.008833    
   3945.500       2.027619    
   3946.400       2.034204    
   3947.300       2.016591    
   3948.200       1.991980    
   3949.100       1.973324    
   3950.000       1.957236    
   3950.900       1.936264    
   3951.800       1.913104    
   3952.700       1.889306    
   3953.600       1.865556    
   3954.500       1.837651    
   3955.400       1.800223    
   3956.300       1.752328    
   3957.200       1.706304    
   3958.100       1.668228    
   3959.000       1.622647    
   3959.900       1.562922    
   3960.800       1.496380    
   3961.700       1.436704    
   3962.600       1.389157    
   3963.500       1.335961    
   3964.400       1.265886    
   3965.300       1.176611    
   3966.200       1.055885    
   3967.100      0.8919047    
   3968.000      0.7134328    
   3968.900      0.5896751    
   3969.800      0.5631017    
   3970.700      0.6275628    
   3971.600      0.7508495    
   3972.500      0.8886825    
   3973.400       1.008637    
   3974.300       1.107606    
   3975.200       1.194604    
   3976.100       1.270155    
   3977.000       1.335344    
   3977.900       1.396814    
   3978.800       1.453931    
   3979.700       1.501666    
   3980.600       1.544484    
   3981.500       1.586977    
   3982.400       1.626274    
   3983.300       1.658901    
   3984.200       1.688606    
   3985.100       1.717127    
   3986.000       1.742745    
   3986.900       1.768618    
   3987.800       1.799150    
   3988.700       1.829534    
   3989.600       1.851431    
   3990.500       1.865715    
   3991.400       1.882590    
   3992.300       1.903515    
   3993.200       1.916814    
   3994.100       1.921819    
   3995.000       1.926583    
   3995.900       1.930672    
   3996.800       1.932775    
   3997.700       1.937913    
   3998.600       1.951228    
   3999.500       1.965195    
   4000.400       1.973885    
   4001.300       1.981419    
   4002.200       1.991411    
   4003.100       2.004539    
   4004.000       2.007763    
   4004.900       2.001557    
   4005.800       2.002843    
   4006.700       2.017269    
   4007.600       2.041334    
   4008.500       2.059690    
   4009.400       2.065370    
   4010.300       2.066639    
   4011.200       2.069155    
   4012.100       2.075595    
   4013.000       2.088130    
   4013.900       2.097685    
   4014.800       2.101449    
   4015.700       2.107130    
   4016.600       2.116006    
   4017.500       2.123852    
   4018.400       2.132842    
   4019.300       2.141394    
   4020.200       2.144157    
   4021.100       2.137829    
   4022.000       2.129868    
